unique identifier,Budget Year,Account Type,Department,Unit,Child Fund,Amount
4345,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,13449
4346,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,19364
4347,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,169669
4348,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,19670
4349,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,42580
4350,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,242930
4351,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,172710
4352,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,207680
4353,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,382620
4354,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,1407448
4355,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,12287
4356,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,12096
4357,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,105987
4358,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,122301
4359,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,14178
4360,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,13957
4361,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2108 - HUD-CDBG,-116548
4362,2011-07-01,Expense,Community & Economic Development Agency,88949 - CDBG Coordination,2108 - HUD-CDBG,356990
4363,2011-07-01,Expense,Community & Economic Development Agency,88949 - CDBG Coordination,2108 - HUD-CDBG,96444
4364,2011-07-01,Expense,Community & Economic Development Agency,88949 - CDBG Coordination,2108 - HUD-CDBG,105175
4365,2011-07-01,Expense,Community & Economic Development Agency,88949 - CDBG Coordination,2108 - HUD-CDBG,154378
4366,2011-07-01,Expense,Community & Economic Development Agency,88949 - CDBG Coordination,2108 - HUD-CDBG,299
4367,2011-07-01,Expense,Community & Economic Development Agency,88949 - CDBG Coordination,2108 - HUD-CDBG,13908
4368,2011-07-01,Expense,Community & Economic Development Agency,88949 - CDBG Coordination,2108 - HUD-CDBG,1700000
4369,2011-07-01,Expense,Community & Economic Development Agency,88949 - CDBG Coordination,2108 - HUD-CDBG,150000
4370,2011-07-01,Expense,Community & Economic Development Agency,88949 - CDBG Coordination,2108 - HUD-CDBG,297264
4371,2011-07-01,Expense,Community & Economic Development Agency,88949 - CDBG Coordination,2108 - HUD-CDBG,97806
4372,2011-07-01,Expense,Community & Economic Development Agency,88949 - CDBG Coordination,2108 - HUD-CDBG,112860
4373,2011-07-01,Expense,Community & Economic Development Agency,88989 - Homeownership Programs,2108 - HUD-CDBG,44631
4374,2011-07-01,Expense,Community & Economic Development Agency,88989 - Homeownership Programs,2108 - HUD-CDBG,12333
4375,2011-07-01,Expense,Community & Economic Development Agency,88989 - Homeownership Programs,2108 - HUD-CDBG,13449
4376,2011-07-01,Expense,Community & Economic Development Agency,88989 - Homeownership Programs,2108 - HUD-CDBG,19670
4377,2011-07-01,Expense,Community & Economic Development Agency,88989 - Homeownership Programs,2108 - HUD-CDBG,12287
4378,2011-07-01,Expense,Community & Economic Development Agency,88989 - Homeownership Programs,2108 - HUD-CDBG,14178
4379,2011-07-01,Expense,Community & Economic Development Agency,88989 - Homeownership Programs,2108 - HUD-CDBG,-116548
4380,2011-07-01,Expense,Community & Economic Development Agency,88919 - Housing and Community Development: Support Staff,2109 - HUD-Home,66272
4381,2011-07-01,Expense,Community & Economic Development Agency,88919 - Housing and Community Development: Support Staff,2109 - HUD-Home,840
4382,2011-07-01,Expense,Community & Economic Development Agency,88919 - Housing and Community Development: Support Staff,2109 - HUD-Home,18313
4383,2011-07-01,Expense,Community & Economic Development Agency,88919 - Housing and Community Development: Support Staff,2109 - HUD-Home,19971
4384,2011-07-01,Expense,Community & Economic Development Agency,88919 - Housing and Community Development: Support Staff,2109 - HUD-Home,29208
4385,2011-07-01,Expense,Community & Economic Development Agency,88919 - Housing and Community Development: Support Staff,2109 - HUD-Home,3495
4386,2011-07-01,Expense,Community & Economic Development Agency,88919 - Housing and Community Development: Support Staff,2109 - HUD-Home,59114
4387,2011-07-01,Expense,Community & Economic Development Agency,88919 - Housing and Community Development: Support Staff,2109 - HUD-Home,18245
4388,2011-07-01,Expense,Community & Economic Development Agency,88919 - Housing and Community Development: Support Staff,2109 - HUD-Home,21053
4389,2011-07-01,Expense,Community & Economic Development Agency,88929 - Housing Development,2109 - HUD-Home,35643
4390,2011-07-01,Expense,Community & Economic Development Agency,88929 - Housing Development,2109 - HUD-Home,9850
4391,2011-07-01,Expense,Community & Economic Development Agency,88929 - Housing Development,2109 - HUD-Home,10741
4392,2011-07-01,Expense,Community & Economic Development Agency,88929 - Housing Development,2109 - HUD-Home,15709
4393,2011-07-01,Expense,Community & Economic Development Agency,88929 - Housing Development,2109 - HUD-Home,4277850
4394,2011-07-01,Expense,Community & Economic Development Agency,88929 - Housing Development,2109 - HUD-Home,9813
4395,2011-07-01,Expense,Community & Economic Development Agency,88929 - Housing Development,2109 - HUD-Home,11323
4396,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2109 - HUD-Home,36518
4397,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2109 - HUD-Home,420
4398,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2109 - HUD-Home,10090
4399,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2109 - HUD-Home,10728
4400,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2109 - HUD-Home,16094
4401,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2109 - HUD-Home,10053
4402,2011-07-01,Expense,Community & Economic Development Agency,88939 - Municipal Lending,2109 - HUD-Home,11601
4403,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,2112 - Department of Justice,38140
4404,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,2112 - Department of Justice,50574
4405,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,2112 - Department of Justice,5360
4406,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,2112 - Department of Justice,251
4407,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,2112 - Department of Justice,158
4408,2011-07-01,Expense,City Administrator,02211 - Citizens' Police Review Board,2112 - Department of Justice,88987
4409,2011-07-01,Expense,City Administrator,02211 - Citizens' Police Review Board,2112 - Department of Justice,66110
4410,2011-07-01,Expense,City Administrator,02211 - Citizens' Police Review Board,2112 - Department of Justice,290
4411,2011-07-01,Expense,City Administrator,02211 - Citizens' Police Review Board,2112 - Department of Justice,3721
4412,2011-07-01,Expense,City Administrator,02211 - Citizens' Police Review Board,2112 - Department of Justice,18268
4413,2011-07-01,Expense,City Administrator,02211 - Citizens' Police Review Board,2112 - Department of Justice,24589
4414,2011-07-01,Expense,City Administrator,02211 - Citizens' Police Review Board,2112 - Department of Justice,26815
4415,2011-07-01,Expense,City Administrator,02211 - Citizens' Police Review Board,2112 - Department of Justice,19922
4416,2011-07-01,Expense,City Administrator,02211 - Citizens' Police Review Board,2112 - Department of Justice,29136
4417,2011-07-01,Expense,City Administrator,02211 - Citizens' Police Review Board,2112 - Department of Justice,39218
4418,2011-07-01,Expense,City Administrator,02511 - ADA Programs,2112 - Department of Justice,10186
4419,2011-07-01,Expense,City Administrator,02511 - ADA Programs,2112 - Department of Justice,2815
4420,2011-07-01,Expense,City Administrator,02511 - ADA Programs,2112 - Department of Justice,3069
4421,2011-07-01,Expense,City Administrator,02511 - ADA Programs,2112 - Department of Justice,4489
4422,2011-07-01,Expense,Police,U10111 - Office of Chief: Administration,2112 - Department of Justice,7967
4423,2011-07-01,Expense,Police,U10651 - Budget Accounting,2112 - Department of Justice,66276
4424,2011-07-01,Expense,Police,U10651 - Budget Accounting,2112 - Department of Justice,18314
4425,2011-07-01,Expense,Police,U10651 - Budget Accounting,2112 - Department of Justice,19972
4426,2011-07-01,Expense,Police,U10651 - Budget Accounting,2112 - Department of Justice,29209
4427,2011-07-01,Expense,Police,U10651 - Budget Accounting,2112 - Department of Justice,11538
4428,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,50017
4429,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,885665
4430,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,902
4431,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,13821
4432,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,15072
4433,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,64909
4434,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,54912
4435,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,75180
4436,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,5040
4437,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,1000
4438,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,900
4439,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,3000
4440,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,610
4441,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,2840
4442,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,2140
4443,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,6857
4444,2011-07-01,Expense,Dept of Human Services,75651 - Senior Aide Program,2114 - Department of Labor,500
4445,2011-07-01,Expense,Capital Improvement Projects,92242 - Engineer Design: Streets and Structures,2116 - Department of Transportation,412000
4446,2011-07-01,Expense,Capital Improvement Projects,92242 - Engineer Design: Streets and Structures,2116 - Department of Transportation,592000
4447,2011-07-01,Expense,Capital Improvement Projects,92242 - Engineer Design: Streets and Structures,2116 - Department of Transportation,300000
4448,2011-07-01,Expense,Capital Improvement Projects,92242 - Engineer Design: Streets and Structures,2116 - Department of Transportation,400000
4449,2011-07-01,Expense,Capital Improvement Projects,92242 - Engineer Design: Streets and Structures,2116 - Department of Transportation,1420000
4450,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,23783
4451,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,3769
4452,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,6841
4453,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,6860
4454,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,7481
4455,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,11348
4456,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,265
4457,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,141
4458,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,217
4459,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,950
4460,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,765
4461,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,185389
4462,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,22136
4463,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,120
4464,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,80
4465,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,282
4466,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,10452
4467,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,34974
4468,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,3210
4469,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,3100
4470,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,1200
4471,2011-07-01,Expense,Dept of Human Services,75241 - Senior Companion Program,2120 - Federal Action Agency,85
4472,2011-07-01,Expense,Fire,20521 - Budget Unit,2123 - US Dept of Homeland Security,5131
4473,2011-07-01,Expense,Fire,20521 - Budget Unit,2123 - US Dept of Homeland Security,1418
4474,2011-07-01,Expense,Fire,20521 - Budget Unit,2123 - US Dept of Homeland Security,1284
4475,2011-07-01,Expense,Fire,20521 - Budget Unit,2123 - US Dept of Homeland Security,2261
4476,2011-07-01,Expense,Fire,20521 - Budget Unit,2123 - US Dept of Homeland Security,-10856
4477,2011-07-01,Expense,Fire,20711 - Emergency Services Program,2123 - US Dept of Homeland Security,431126
4478,2011-07-01,Expense,Fire,20711 - Emergency Services Program,2123 - US Dept of Homeland Security,82001
4479,2011-07-01,Expense,Fire,20711 - Emergency Services Program,2123 - US Dept of Homeland Security,119131
4480,2011-07-01,Expense,Fire,20711 - Emergency Services Program,2123 - US Dept of Homeland Security,129918
4481,2011-07-01,Expense,Fire,20711 - Emergency Services Program,2123 - US Dept of Homeland Security,195760
4482,2011-07-01,Expense,Fire,20711 - Emergency Services Program,2123 - US Dept of Homeland Security,3075
4483,2011-07-01,Expense,Fire,20711 - Emergency Services Program,2123 - US Dept of Homeland Security,-759157
4484,2011-07-01,Expense,Fire,20815 - Fire: U.S.A.R.,2123 - US Dept of Homeland Security,56341
4485,2011-07-01,Expense,Fire,20815 - Fire: U.S.A.R.,2123 - US Dept of Homeland Security,18214
4486,2011-07-01,Expense,Fire,20815 - Fire: U.S.A.R.,2123 - US Dept of Homeland Security,19369
4487,2011-07-01,Expense,Fire,20815 - Fire: U.S.A.R.,2123 - US Dept of Homeland Security,26169
4488,2011-07-01,Expense,Fire,20815 - Fire: U.S.A.R.,2123 - US Dept of Homeland Security,6531
4489,2011-07-01,Expense,Fire,20815 - Fire: U.S.A.R.,2123 - US Dept of Homeland Security,-139818
4490,2011-07-01,Expense,Fire,20411 - Emergency / Suppression: Shift A,2124 - Federal Emergency Management Agency (FEMA),169023
4491,2011-07-01,Expense,Fire,20411 - Emergency / Suppression: Shift A,2124 - Federal Emergency Management Agency (FEMA),1926
4492,2011-07-01,Expense,Fire,20411 - Emergency / Suppression: Shift A,2124 - Federal Emergency Management Agency (FEMA),13419
4493,2011-07-01,Expense,Fire,20411 - Emergency / Suppression: Shift A,2124 - Federal Emergency Management Agency (FEMA),54642
4494,2011-07-01,Expense,Fire,20411 - Emergency / Suppression: Shift A,2124 - Federal Emergency Management Agency (FEMA),58107
4495,2011-07-01,Expense,Fire,20411 - Emergency / Suppression: Shift A,2124 - Federal Emergency Management Agency (FEMA),78507
4496,2011-07-01,Expense,Fire,20411 - Emergency / Suppression: Shift A,2124 - Federal Emergency Management Agency (FEMA),19593
4497,2011-07-01,Expense,Fire,20531 - Accounts Payable,2124 - Federal Emergency Management Agency (FEMA),5240
4498,2011-07-01,Expense,Fire,20531 - Accounts Payable,2124 - Federal Emergency Management Agency (FEMA),1448
4499,2011-07-01,Expense,Fire,20531 - Accounts Payable,2124 - Federal Emergency Management Agency (FEMA),1311
4500,2011-07-01,Expense,Fire,20531 - Accounts Payable,2124 - Federal Emergency Management Agency (FEMA),2309
4501,2011-07-01,Expense,Fire,20531 - Accounts Payable,2124 - Federal Emergency Management Agency (FEMA),586
4502,2011-07-01,Expense,Fire,20815 - Fire: U.S.A.R.,2124 - Federal Emergency Management Agency (FEMA),115757
4503,2011-07-01,Expense,Fire,20815 - Fire: U.S.A.R.,2124 - Federal Emergency Management Agency (FEMA),76335
4504,2011-07-01,Expense,Fire,20815 - Fire: U.S.A.R.,2124 - Federal Emergency Management Agency (FEMA),37421
4505,2011-07-01,Expense,Fire,20815 - Fire: U.S.A.R.,2124 - Federal Emergency Management Agency (FEMA),39796
4506,2011-07-01,Expense,Fire,20815 - Fire: U.S.A.R.,2124 - Federal Emergency Management Agency (FEMA),5358
4507,2011-07-01,Expense,Fire,20815 - Fire: U.S.A.R.,2124 - Federal Emergency Management Agency (FEMA),53765
4508,2011-07-01,Expense,Fire,20815 - Fire: U.S.A.R.,2124 - Federal Emergency Management Agency (FEMA),2862
4509,2011-07-01,Expense,Fire,20815 - Fire: U.S.A.R.,2124 - Federal Emergency Management Agency (FEMA),20105
4510,2011-07-01,Expense,Fire,20912 - Measure N - Paramedic,2124 - Federal Emergency Management Agency (FEMA),40683
4511,2011-07-01,Expense,Fire,20912 - Measure N - Paramedic,2124 - Federal Emergency Management Agency (FEMA),11242
4512,2011-07-01,Expense,Fire,20912 - Measure N - Paramedic,2124 - Federal Emergency Management Agency (FEMA),12260
4513,2011-07-01,Expense,Fire,20912 - Measure N - Paramedic,2124 - Federal Emergency Management Agency (FEMA),17930
4514,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,167457
4515,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,400204
4516,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,6344
4517,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,110583
4518,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,46272
4519,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,120599
4520,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,48877
4521,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,176373
4522,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,73801
4523,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,3450
4524,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,8030
4525,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,3000
4526,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,3379
4527,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,11450
4528,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,13425
4529,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,14000
4530,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,237174
4531,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,6000
4532,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,7000
4533,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,6650
4534,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,3000
4535,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,4500
4536,2011-07-01,Expense,Dept of Human Services,75231 - Multipurpose Senior Service Program,2128 - Department of Health and Human Services,8892
4537,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,708
4538,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,105719
4539,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,526378
4540,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,2755976
4541,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,5764
4542,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,604267
4543,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,281620
4544,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,55165
4545,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,10982
4546,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,29212
4547,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,809696
4548,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,196
4549,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,1593
4550,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,161035
4551,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,145451
4552,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,30256
4553,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,150615
4554,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,1737
4555,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,213
4556,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,149870
4557,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,753505
4558,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,1298955
4559,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,312
4560,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,46592
4561,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,231984
4562,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,2540
4563,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,258345
4564,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,805
4565,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,4025
4566,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,1000
4567,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,43154
4568,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,5000
4569,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,6500
4570,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,50
4571,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,58691
4572,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,13390
4573,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,32420
4574,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,1200
4575,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,6204
4576,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,5000
4577,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,8880
4578,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,8421
4579,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,600
4580,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,5100
4581,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,2500
4582,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,1750
4583,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,10500
4584,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,67690
4585,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,100000
4586,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,55940
4587,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,377980
4588,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,1000
4589,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,40600
4590,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,6700
4591,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,7500
4592,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,2000
4593,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,7000
4594,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,15906
4595,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,10330
4596,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,290
4597,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,4300
4598,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,6600
4599,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,129724
4600,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,2000
4601,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,8000
4602,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,1000
4603,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,21468
4604,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,2415941
4605,2011-07-01,Expense,Dept of Human Services,78231 - Head Start Unit,2128 - Department of Health and Human Services,2323395
